ICD_10,READ_CD,DESCRIPTION,CATEGORY ,STAGE,TIER,PHENOTYPE ,Clean description
B15,,"Acute viral hepatitis, Hepatitis A",Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HAV
B19,A70z1,"Acute viral hepatitis, Viral hepatitis other",Acute viral hepatitis,Acute,,Acute Liver disease ,Acute viral hepatitis - other
B16,,"Acute viral hepatitis, Acute hepatitis B",Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HBV
B17,AyuB0,Acute viral hepatitis,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute viral hepatitis - other
,XE2u.,Hepatitis A,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HAV
,Q4090,Hepatitis A,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HAV
B159,A700.,"Hepatitis A, Acute viral hepatitis with coma",Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HAV
,A701.,Hepatitis A,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HAV
B172,A7052,Hepatitis E,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HEV
,43B5.,Hepatitis E ,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HEV
B178,A70..,Viral hepatitis other,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute viral hepatitis
B179,A706.,"Viral hepatitis other, Acute viral hepatitis with coma",Acute viral hepatitis,Acute,,Acute Liver disease ,Acute viral hepatitis
B180,A708.,"Viral hepatitis other, Acute viral hepatitis with coma",Acute viral hepatitis,Acute,,Acute Liver disease ,Acute viral hepatitis
B179,A709.,Viral hepatitis other,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute viral hepatitis
B179,A70z.,Viral hepatitis other,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute viral hepatitis
B171,A70G.,Acute hepatitis C,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HCV
B159,A704.,Acute viral hepatitis with coma,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HAV
B169,AyuB3,Acute viral hepatitis with coma,Acute viral hepatitis,Acute,,Acute Liver disease ,Acute HBV
